BibTeX;Style;Referenzstring
"@Article{Chaudhuri2014LongtermT,
 author = {Sriroop Chaudhuri and S. Ale},
 booktitle = {Science of the Total Environment},
 journal = {The Science of the total environment},
 pages = {
          379-90
        },
 title = {Long-term (1930-2010) trends in groundwater levels in Texas: influences of soils, landcover and water use.},
 volume = {490},
 year = {2014}
}
";plain;"Sriroop Chaudhuri and S. Ale. Long-term (1930-2010) trends in groundwater levels in texas: influences of soils, landcover and water use. The Science of the total environment, 490:379-90, 2014.
"
"@Article{Ubels1998NlinkedGA,
 author = {J. Ubels and E. M. Woo and R. Curley},
 booktitle = {Journal of Ocular Pharmacology and Therapeutics},
 journal = {Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics},
 pages = {
          505-16
        },
 title = {N-linked glycoside and glucuronide conjugates of the retinoid, acitretin, are biologically active in cornea and conjunctiva.},
 volume = {14 6},
 year = {1998}
}
";plain;"J. Ubels, E. M. Woo, and R. Curley. N-linked glycoside and glucuronide conjugates of the retinoid, acitretin, are biologically active in cornea and conjunctiva. Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics, 14 6:505-16, 1998.
"
"@Article{Xiaoling1999ASO,
 author = {Fei Xiaoling},
 journal = {Gansu Meteorology},
 title = {A Study on the Optimum Area for Poland Tulip Growth in China},
 year = {1999}
}
";plain;"Fei Xiaoling. A study on the optimum area for poland tulip growth in china. Gansu Meteorology, 1999.
"
"@Article{Muniz2019MollusksAW,
 author = {Ana Priscila Amâncio Muniz and Rafaela Cristina de Souza Duarte and Ellori Laíse Silva Mota and J. Lima and T. L. Dias},
 booktitle = {Acta Limnologica Brasiliensia},
 journal = {Acta Limnologica Brasiliensia},
 title = {Mollusks associated with the Avicennia schaueriana (Magnoliophyta: Acanthaceae) roots of a hypersaline estuary in northeastern Brazil},
 year = {2019}
}
";plain;"Ana Priscila Amâncio Muniz, Rafaela Cristina de Souza Duarte, Ellori Laíse Silva Mota, J. Lima, and T. L. Dias. Mollusks associated with the avicennia schaueriana (magnoliophyta: acanthaceae) roots of a hypersaline estuary in northeastern brazil. Acta Limnologica Brasiliensia, 2019.
"
"@Article{Duckson1984WATERQUALITYMA,
 author = {Don W. Duckson},
 journal = {The Professional Geographer},
 pages = {473-478},
 title = {WATER‐QUALITY MONITORING AND SPECIOUS DATA: THE EXAMPLE OF GEORGES CREEK, MARYLAND*},
 volume = {36},
 year = {1984}
}
";plain;"Don W. Duckson. Water‐quality monitoring and specious data: the example of georges creek, maryland*. The Professional Geographer, 36:473-478, 1984.
"
"@Article{Holecz2009SynergeticUO,
 author = {F. Holecz and M. Barbieri and Alessio Cantone and P. Pasquali and S. Monaco},
 booktitle = {IEEE International Geoscience and Remote Sensing Symposium},
 journal = {2009 IEEE International Geoscience and Remote Sensing Symposium},
 pages = {II-5-II-8},
 title = {Synergetic use of multi-temporal ALOS PALSAR and ENVISAT ASAR data for topographic/land cover mapping and monitoring at national scale in Africa},
 volume = {2},
 year = {2009}
}
";plain;"F. Holecz, M. Barbieri, Alessio Cantone, P. Pasquali, and S. Monaco. Synergetic use of multi-temporal alos palsar and envisat asar data for topographic/land cover mapping and monitoring at national scale in africa. 2009 IEEE International Geoscience and Remote Sensing Symposium, 2:II-5-II-8, 2009.
"
"@Inproceedings{Curtiss1969ChemicalQO,
 author = {D. Curtiss},
 title = {Chemical quality of surface water in the Umpqua River Basin, Oregon},
 year = {1969}
}
";plain;"D. Curtiss. Chemical quality of surface water in the Umpqua River Basin, Oregon. 1969.
"
"@Article{Kuznetsov2015EffectOT,
 author = {G. Kuznetsov and P. Strizhak},
 booktitle = {Journal of Applied Mechanics and Technical Physics},
 journal = {Journal of Applied Mechanics and Technical Physics},
 pages = {558 - 568},
 title = {Effect of the volume concentration of a set of water droplets moving through high-temperature gases on the temperature in the wake},
 volume = {56},
 year = {2015}
}
";plain;"G. Kuznetsov and P. Strizhak. Effect of the volume concentration of a set of water droplets moving through high-temperature gases on the temperature in the wake. Journal of Applied Mechanics and Technical Physics, 56:558 - 568, 2015.
"
"@Article{Kurtzman2001NephriticE,
 author = {N. A. Kurtzman},
 booktitle = {Seminars in Nephrology},
 journal = {Seminars in nephrology},
 pages = {
          257-61
        },
 title = {Nephritic edema.},
 volume = {21 3},
 year = {2001}
}
";plain;"N. A. Kurtzman. Nephritic edema. Seminars in nephrology, 21 3:257-61, 2001.
"
"@Article{Pham2002InterfacemediatedSO,
 author = {M. Pham and W. Matz and H. Reuther and E. Richter and G. Steiner and S. Oswald},
 booktitle = {Journal of Biomedical Materials Research},
 journal = {Journal of biomedical materials research},
 pages = {
          254-8
        },
 title = {Interface-mediated synthesis of hydroxyapatite.},
 volume = {59 2},
 year = {2002}
}
";plain;"M. Pham, W. Matz, H. Reuther, E. Richter, G. Steiner, and S. Oswald. Interface-mediated synthesis of hydroxyapatite. Journal of biomedical materials research, 59 2:254-8, 2002.
"
"@Article{Dhaka2023ImplicationOJ,
 author = {Prakriti Dhaka and Sridevi Tallapragada and S. Devi and B. Dhaka and Kamal and Pankaj},
 booktitle = {International Journal of Environment and Climate Change},
 journal = {International Journal of Environment and Climate Change},
 title = {Implication of Jasmonic Acid on Physiological Alterations on Salt Stressed Fodder Sorghum (Sorghum bicolor L.)},
 year = {2023}
}
";plain;"Prakriti Dhaka, Sridevi Tallapragada, S. Devi, B. Dhaka, Kamal, and Pankaj. Implication of jasmonic acid on physiological alterations on salt stressed fodder sorghum (sorghum bicolor l.). International Journal of Environment and Climate Change, 2023.
"
"@Inproceedings{Collins1998TheRT,
 author = {J. Collins and R. Langley},
 pages = {729-738},
 title = {The residual tropospheric propagation delay: How bad can it get?},
 year = {1998}
}
";plain;"J. Collins and R. Langley. The residual tropospheric propagation delay: How bad can it get? 1998.
"
"@Inproceedings{Capcelea2017GenericEM,
 author = {Arcadii Capcelea},
 pages = {1-60},
 title = {Generic environmental management plan},
 year = {2017}
}
";plain;"Arcadii Capcelea. Generic environmental management plan. 2017.
"
"@Article{Zoldan2010MorphologyMP,
 author = {V. C. Zoldan and J. S. Cruz and M. L. Munford and G. Zangari and N. García and A. A. Pasa},
 journal = {Journal of The Electrochemical Society},
 title = {Morphology, Magnetic Properties, and Magnetoresistance of As-Deposited and Oxidized Fe Thin Films Electrodeposited on Si},
 volume = {157},
 year = {2010}
}
";plain;"V. C. Zoldan, J. S. Cruz, M. L. Munford, G. Zangari, N. García, and A. A. Pasa. Morphology, magnetic properties, and magnetoresistance of as-deposited and oxidized fe thin films electrodeposited on si. Journal of The Electrochemical Society, 2010.
"
"@Inproceedings{Hutahean2008PersamaanGN,
 author = {Syawaluddin Hutahean},
 pages = {35-44},
 title = {Persamaan Gelombang Nonlinier pada Dasar Perairan Miring},
 volume = {15},
 year = {2008}
}
";plain;"Syawaluddin Hutahean. Persamaan Gelombang Nonlinier pada Dasar Perairan Miring. 2008.
"
"@Article{Liang2017FabricationOH,
 author = {L. Liang and Meng-Ting Su and C. Zheng and Jiaqi Li and Haihua Zhan and Xuming Li and Xu Meng},
 booktitle = {Fibers And Polymers},
 journal = {Fibers and Polymers},
 pages = {2307-2314},
 title = {Fabrication of hydrophobic/oleophilic cotton fabric by mussel-inspired chemistry for oil/water separation},
 volume = {18},
 year = {2017}
}
";plain;"L. Liang, Meng-Ting Su, C. Zheng, Jiaqi Li, Haihua Zhan, Xuming Li, and Xu Meng. Fabrication of hydrophobic/oleophilic cotton fabric by mussel-inspired chemistry for oil/water separation. Fibers and Polymers, 18:2307-2314, 2017.
"
"@Article{Karvelas2020MicromixingNA,
 author = {E. Karvelas and C. Liosis and T. Karakasidis and I. Sarris},
 booktitle = {Environmental Sciences Proceedings},
 journal = {Environmental Sciences Proceedings},
 title = {Micromixing Nanoparticles and Contaminated Water Under Different Velocities for Optimum Heavy Metal Ions Adsorption},
 year = {2020}
}
";plain;"E. Karvelas, C. Liosis, T. Karakasidis, and I. Sarris. Micromixing nanoparticles and contaminated water under different velocities for optimum heavy metal ions adsorption. Environmental Sciences Proceedings, 2020.
"
"@Article{Rivera-Velázquez2007GrowthMA,
 author = {G. Rivera-Velázquez and L. Soto and I. Salgado-Ugarte and E. Naranjo},
 booktitle = {Revista de Biología Tropical},
 journal = {Revista de biologia tropical},
 pages = {
          523-33
        },
 title = {Growth, mortality and migratory pattern of white shrimp (Litopenaeus vannamei, Crustacea, Penaeidae) in the Carretas-Pereyra coastal lagoon system, Mexico.},
 volume = {56 2},
 year = {2007}
}
";plain;"G. Rivera-Velázquez, L. Soto, I. Salgado-Ugarte, and E. Naranjo. Growth, mortality and migratory pattern of white shrimp (litopenaeus vannamei, crustacea, penaeidae) in the carretas-pereyra coastal lagoon system, mexico. Revista de biologia tropical, 56 2:523-33, 2007.
"
"@Inproceedings{Okonkwo2011ApplicationOC,
 author = {S. Okonkwo},
 title = {Application of Chemistry in Development of Africa Using Local Resources: Production of Malt Drink from Millet},
 year = {2011}
}
";plain;"S. Okonkwo. Application of Chemistry in Development of Africa Using Local Resources: Production of Malt Drink from Millet. 2011.
"
"@Article{Ičanović2022EffectsOB,
 author = {M. Ičanović and Sabira Handanović},
 booktitle = {Агрознање},
 journal = {АГРОЗНАЊЕ},
 title = {Effects of biostimulative fertilizers on the quality of Rubus idaeus L.},
 year = {2022}
}
";plain;"M. Ičanović and Sabira Handanović. Effects of biostimulative fertilizers on the quality of rubus idaeus l. АГРОЗНАЊЕ, 2022.
"
"@Inproceedings{Bond1974ANAT,
 author = {R. Bond and G. Lees and A. Williams},
 pages = {339-360},
 title = {AN APPROACH TOWARDS THE UNDERSTANDING AND DESIGN OF THE PAVEMENT'S TEXTURAL CHARACTERISTICS REQUIRED FOR OPTIMUM PERFORMANCE OF THE TYRE},
 year = {1974}
}
";plain;"R. Bond, G. Lees, and A. Williams. AN APPROACH TOWARDS THE UNDERSTANDING AND DESIGN OF THE PAVEMENT'S TEXTURAL CHARACTERISTICS REQUIRED FOR OPTIMUM PERFORMANCE OF THE TYRE. 1974.
"
"@Inproceedings{W·E·埃文斯2011ImprovedPC,
 author = {W·E·埃文斯 and J·M·科比 and P·M·麦卡利斯特 and R·C·耶茨},
 title = {Improved process control eo},
 year = {2011}
}
";plain;"W·E·埃文斯, J·M·科比, P·M·麦卡利斯特, and R·C·耶茨. Improved process control eo. 2011.
"
"@Article{Si2023ARO,
 author = {Zhuanyun Si and A. Qin and Yueping Liang and A. Duan and Yang Gao},
 booktitle = {Plants},
 journal = {Plants},
 title = {A Review on Regulation of Irrigation Management on Wheat Physiology, Grain Yield, and Quality},
 volume = {12},
 year = {2023}
}
";plain;"Zhuanyun Si, A. Qin, Yueping Liang, A. Duan, and Yang Gao. A review on regulation of irrigation management on wheat physiology, grain yield, and quality. Plants, 2023.
"
"@Inproceedings{Vick2015LookAM,
 author = {Tony Vick},
 pages = {155-156},
 title = {Look at Me},
 year = {2015}
}
";plain;"Tony Vick. Look at Me. 2015.
"
"@Article{Qingshan2002WaterQA,
 author = {Ren Qingshan and W. Jingsheng and Zhang Bo and L. Jian and Pan Gang},
 journal = {Journal of Northeast Forestry University},
 pages = {52-54},
 title = {Water Quality Analyses of Different Water States of Fir Origin Forests in Southeast Tibet},
 volume = {30},
 year = {2002}
}
";plain;"Ren Qingshan, W. Jingsheng, Zhang Bo, L. Jian, and Pan Gang. Water quality analyses of different water states of fir origin forests in southeast tibet. Journal of Northeast Forestry University, 30:52-54, 2002.
"
"@Inproceedings{Rincon2018ModulationON,
 author = {M. Rincon and A. Patricia},
 pages = {1-76},
 title = {Modulation of neuronal activity by symbiotic bacteria in the early-branching metazoan Hydra},
 year = {2018}
}
";plain;"M. Rincon and A. Patricia. Modulation of neuronal activity by symbiotic bacteria in the early-branching metazoan Hydra. 2018.
"
"@Inproceedings{Thomson2009ModelingDP,
 author = {D. Thomson and E. Cooch and M. Conroy},
 title = {Modeling demographic processes in marked populations},
 year = {2009}
}
";plain;"D. Thomson, E. Cooch, and M. Conroy. Modeling demographic processes in marked populations. 2009.
"
"@Inproceedings{Garb1980WaterfloodCF,
 author = {F. A. Garb},
 title = {Waterflood calculations for hand-held computers. Part 7. Evaluating flood performance using the Stiles technique},
 year = {1980}
}
";plain;"F. A. Garb. Waterflood calculations for hand-held computers. Part 7. Evaluating flood performance using the Stiles technique. 1980.
"
"@Article{Isogai2018DevelopmentOC,
 author = {A. Isogai},
 booktitle = {Proceedings of the Japan Academy. Series B, Physical and biological sciences},
 journal = {Proceedings of the Japan Academy. Series B, Physical and Biological Sciences},
 pages = {161 - 179},
 title = {Development of completely dispersed cellulose nanofibers},
 volume = {94},
 year = {2018}
}
";plain;"A. Isogai. Development of completely dispersed cellulose nanofibers. Proceedings of the Japan Academy. Series B, Physical and Biological Sciences, 94:161 - 179, 2018.
"
"@Article{Galmés2007AquaporinEI,
 author = {J. Galmés and A. Pou and M. M. Alsina and M. Tomás and H. Medrano and J. Flexas},
 booktitle = {Planta},
 journal = {Planta},
 pages = {671-681},
 title = {Aquaporin expression in response to different water stress intensities and recovery in Richter-110 (Vitis sp.): relationship with ecophysiological status},
 volume = {226},
 year = {2007}
}
";plain;"J. Galmés, A. Pou, M. M. Alsina, M. Tomás, H. Medrano, and J. Flexas. Aquaporin expression in response to different water stress intensities and recovery in richter-110 (vitis sp.): relationship with ecophysiological status. Planta, 226:671-681, 2007.
"
"@Article{Bennett2004SexDI,
 author = {A. Bennett and P. DePetrillo},
 booktitle = {Journal of medical primatology},
 journal = {Journal of Medical Primatology},
 title = {Sex differences in total body water in adolescent rhesus macaques estimated by ethanol dilution},
 volume = {33},
 year = {2004}
}
";plain;"A. Bennett and P. DePetrillo. Sex differences in total body water in adolescent rhesus macaques estimated by ethanol dilution. Journal of Medical Primatology, 2004.
"
"@Article{Valencia-Avellan2017UnderstandingTM,
 author = {Magaly Valencia-Avellan and R. Slack and A. Stockdale and R. Mortimer},
 booktitle = {Environmental Science: Processes & Impacts},
 journal = {Environmental science. Processes & impacts},
 pages = {
          1061-1074
        },
 title = {Understanding the mobilisation of metal pollution associated with historical mining in a carboniferous upland catchment.},
 volume = {19 8},
 year = {2017}
}
";plain;"Magaly Valencia-Avellan, R. Slack, A. Stockdale, and R. Mortimer. Understanding the mobilisation of metal pollution associated with historical mining in a carboniferous upland catchment. Environmental science. Processes & impacts, 19 8:1061-1074, 2017.
"
"@Inproceedings{Duwe2005KERNFORSCHUNGSANLAGEJG,
 author = {R. Duwe and P. Jansen and Verzeichnis der Abbildungen},
 title = {KERNFORSCHUNGSANLAGE JÜLICH GmbH Züchtung und Charakterisierung von reinen und dotierten SE-AI 2 -Einkristallen},
 year = {2005}
}
";plain;"R. Duwe, P. Jansen, and Verzeichnis der Abbildungen. KERNFORSCHUNGSANLAGE JÜLICH GmbH Züchtung und Charakterisierung von reinen und dotierten SE-AI 2 -Einkristallen. 2005.
"
"@Article{Kosian2024HighlySW,
 author = {Dennis Kosian and Max Willistein and Ralf Weßbecher and Constantin Eggers and Oliver May and Matthias Boll},
 booktitle = {Microbial Cell Factories},
 journal = {Microbial Cell Factories},
 title = {Highly selective whole-cell 25-hydroxyvitamin D3 synthesis using molybdenum-dependent C25-steroid dehydrogenase and cyclodextrin recycling},
 volume = {23},
 year = {2024}
}
";plain;"Dennis Kosian, Max Willistein, Ralf Weßbecher, Constantin Eggers, Oliver May, and Matthias Boll. Highly selective whole-cell 25-hydroxyvitamin d3 synthesis using molybdenum-dependent c25-steroid dehydrogenase and cyclodextrin recycling. Microbial Cell Factories, 2024.
"
"@Article{Lombard1977RelativeCO,
 author = {J. Lombard and B. Duling},
 booktitle = {Circulation Research},
 journal = {Circulation research},
 pages = {
          365-73
        },
 title = {Relative contributions of passive and myogenic factors to diameter changes during single arteriole occlusion in the hamster cheek pouch.},
 volume = {41 3},
 year = {1977}
}
";plain;"J. Lombard and B. Duling. Relative contributions of passive and myogenic factors to diameter changes during single arteriole occlusion in the hamster cheek pouch. Circulation research, 41 3:365-73, 1977.
"
"@Inproceedings{Liu2014ARO,
 author = {Dexing Liu and Yanna Zheng and Jiaxing Zhang},
 title = {A Review of Oscillating Water Column Converter Applications},
 year = {2014}
}
";plain;"Dexing Liu, Yanna Zheng, and Jiaxing Zhang. A Review of Oscillating Water Column Converter Applications. 2014.
"
"@Inproceedings{Yoshikawa2006DISTRIBUTIONOB,
 author = {S. Yoshikawa and K. Nemoto and Kenshi Kimura},
 pages = {805-810},
 title = {DISTRIBUTION OF BOTTOM SEDIMENTS AND WAVE BASE},
 volume = {22},
 year = {2006}
}
";plain;"S. Yoshikawa, K. Nemoto, and Kenshi Kimura. DISTRIBUTION OF BOTTOM SEDIMENTS AND WAVE BASE. 2006.
"
"@Inproceedings{Andersson2000ModelleradeOU,
 author = {Elisabeth Andersson and S. Andersson},
 title = {Modellerade och uppmätta kväveflöden i energiskog som bevattnas med avloppsvatten},
 year = {2000}
}
";plain;"Elisabeth Andersson and S. Andersson. Modellerade och uppmätta kväveflöden i energiskog som bevattnas med avloppsvatten. 2000.
"
"@Article{Diversi2016TheEO,
 author = {T. Diversi and Vanessa Franks-Kardum and M. Climstein},
 booktitle = {Extreme Physiology and Medicine},
 journal = {Extreme Physiology & Medicine},
 title = {The effect of cold water endurance swimming on core temperature in aspiring English Channel swimmers},
 volume = {5},
 year = {2016}
}
";plain;"T. Diversi, Vanessa Franks-Kardum, and M. Climstein. The effect of cold water endurance swimming on core temperature in aspiring english channel swimmers. Extreme Physiology & Medicine, 2016.
"
"@Misc{None,
 author = {F. Eno},
 title = {PAVEMENT DISPLACEMENT DUE TO WATER AND FROST},
 volume = {6}
}
";plain;"F. Eno. Pavement displacement due to water and frost.
"
"@Article{Pinho2004LimitBS,
 author = {S. Z. D. Pinho and L. Carvalho and M.E.A. Delachiave},
 journal = {Scientia Agricola},
 pages = {17-20},
 title = {Limit between stages I and II of a seed imbibition curve},
 volume = {61},
 year = {2004}
}
";plain;"S. Z. D. Pinho, L. Carvalho, and M.E.A. Delachiave. Limit between stages i and ii of a seed imbibition curve. Scientia Agricola, 61:17-20, 2004.
"
"@Inproceedings{ウードル，フレツド1986WatersolubleST,
 author = {ウードル，フレツド and ヒーガー，アラン},
 title = {Water-soluble self-doping type electrically conducting polymer and a manufacturing method thereof},
 year = {1986}
}
";plain;"ウードル，フレツド and ヒーガー，アラン. Water-soluble self-doping type electrically conducting polymer and a manufacturing method thereof. 1986.
"
"@Article{Boschetti2014ComparativeAO,
 author = {M. Boschetti and F. Nutini and G. Manfron and P. Brivio and A. Nelson},
 booktitle = {PLoS ONE},
 journal = {PLoS ONE},
 title = {Comparative Analysis of Normalised Difference Spectral Indices Derived from MODIS for Detecting Surface Water in Flooded Rice Cropping Systems},
 volume = {9},
 year = {2014}
}
";plain;"M. Boschetti, F. Nutini, G. Manfron, P. Brivio, and A. Nelson. Comparative analysis of normalised difference spectral indices derived from modis for detecting surface water in flooded rice cropping systems. PLoS ONE, 2014.
"
"@Inproceedings{Guo-fan2007ProblemsLA,
 author = {Wu Guo-fan},
 title = {Problems lying ahead of ship waste water discharge and relevant solving measures},
 year = {2007}
}
";plain;"Wu Guo-fan. Problems lying ahead of ship waste water discharge and relevant solving measures. 2007.
"
"@Inproceedings{Paital2020ChangesIP,
 author = {B. Paital and P. Agrawal},
 title = {Changes in physicochemical, heavy metals and air quality in life episode of Aplocheilus panchax along Mahanadi industrial belt of India as a function of social lockdowns},
 year = {2020}
}
";plain;"B. Paital and P. Agrawal. Changes in physicochemical, heavy metals and air quality in life episode of Aplocheilus panchax along Mahanadi industrial belt of India as a function of social lockdowns. 2020.
"
"@Article{Harris1983RenewableE,
 author = {Stanley S. Harris},
 booktitle = {Environmental Science and Technology},
 journal = {Environmental science & technology},
 pages = {
          75A
        },
 title = {Renewable energy.},
 volume = {17 2},
 year = {1983}
}
";plain;"Stanley S. Harris. Renewable energy. Environmental science & technology, 17 2:75A, 1983.
"
"@Inproceedings{Sukhbaatar2014IntroductionON,
 author = {C. Sukhbaatar and Janchivdorj Lunten and Chang‐Hee Lee},
 pages = {14-15},
 title = {Introduction of newly developed water supply projects for Ulaanbaatar city},
 volume = {2014},
 year = {2014}
}
";plain;"C. Sukhbaatar, Janchivdorj Lunten, and Chang‐Hee Lee. Introduction of newly developed water supply projects for Ulaanbaatar city. 2014.
"
"@Article{Baby2023EffectsOV,
 author = {Jeswin Baby and Pernille Kaestel and Tom Preston and S. Duffull and Zheng Liu and Aly Diana and Lisa Houghton and A. Kurpad and Tinku Thomas},
 booktitle = {Frontiers in Pediatrics},
 journal = {Frontiers in Pediatrics},
 title = {Effects of variations in atmospheric temperature and humidity on the estimation of exclusive breastfeeding status using the deuterium oxide dose-to-mother technique},
 volume = {11},
 year = {2023}
}
";plain;"Jeswin Baby, Pernille Kaestel, Tom Preston, S. Duffull, Zheng Liu, Aly Diana, Lisa Houghton, A. Kurpad, and Tinku Thomas. Effects of variations in atmospheric temperature and humidity on the estimation of exclusive breastfeeding status using the deuterium oxide dose-to-mother technique. Frontiers in Pediatrics, 2023.
"
"@Article{Che2003SporadicCO,
 author = {D. Che and B. Decludt and C. Campèse and J. Desenclos},
 booktitle = {Journal of Epidemiology and Community Health},
 journal = {Journal of Epidemiology and Community Health},
 pages = {466 - 469},
 title = {Sporadic cases of community acquired legionnaires’ disease: an ecological study to identify new sources of contamination},
 volume = {57},
 year = {2003}
}
";plain;"D. Che, B. Decludt, C. Campèse, and J. Desenclos. Sporadic cases of community acquired legionnaires’ disease: an ecological study to identify new sources of contamination. Journal of Epidemiology and Community Health, 57:466 - 469, 2003.
"
"@Article{Hang2013AnalysisOC,
 author = {Gao Hang and Lei Zhang and H. Zhang},
 journal = {Advanced Materials Research},
 pages = {2039 - 2042},
 title = {Analysis of Causes for Pipe Explosion of Urban Water Supply Pipe Network},
 volume = {864-867},
 year = {2013}
}
";plain;"Gao Hang, Lei Zhang, and H. Zhang. Analysis of causes for pipe explosion of urban water supply pipe network. Advanced Materials Research, 864-867:2039 - 2042, 2013.
"
"@Inproceedings{Lanzerotti1985LaboratorySO,
 author = {L. Lanzerotti and W. Brown and Robert E. Johnson},
 pages = {317-335},
 title = {Laboratory Studies of Ion Irradiations of Water, Sulfur Dioxide, and Methane Ices},
 volume = {156},
 year = {1985}
}
";plain;"L. Lanzerotti, W. Brown, and Robert E. Johnson. Laboratory Studies of Ion Irradiations of Water, Sulfur Dioxide, and Methane Ices. 1985.
"
"@Inproceedings{Awino2014EvaluatingRW,
 author = {Oyugi V. Awino},
 title = {Evaluating rain water harvesting technology in Kajiado North District},
 year = {2014}
}
";plain;"Oyugi V. Awino. Evaluating rain water harvesting technology in Kajiado North District. 2014.
"
"@Article{Köse2012BiogenicAC,
 author = {Sevim Köse and S. Koral and Bekir Tufan and M. Pompe and A. Ščavničar and D. Kočar},
 booktitle = {European Food Research and Technology},
 journal = {European Food Research and Technology},
 pages = {669-683},
 title = {Biogenic amine contents of commercially processed traditional fish products originating from European countries and Turkey},
 volume = {235},
 year = {2012}
}
";plain;"Sevim Köse, S. Koral, Bekir Tufan, M. Pompe, A. Ščavničar, and D. Kočar. Biogenic amine contents of commercially processed traditional fish products originating from european countries and turkey. European Food Research and Technology, 235:669-683, 2012.
"
"@Article{Strittmatter1955FiftyPC,
 author = {W. Strittmatter},
 booktitle = {Cleveland Clinic quarterly},
 journal = {Cleveland Clinic quarterly},
 pages = {
          157-60
        },
 title = {Fifty per cent urokon sodium as an intravenous urographic contrast medium; a study based on 250 cases.},
 volume = {22 4},
 year = {1955}
}
";plain;"W. Strittmatter. Fifty per cent urokon sodium as an intravenous urographic contrast medium; a study based on 250 cases. Cleveland Clinic quarterly, 22 4:157-60, 1955.
"
"@Inproceedings{Prasetyowati2008PEMBUATANTK,
 author = {Prasetyowati Prasetyowati and A. CorrineJasmine and Devy Agustiawan},
 title = {PEMBUATAN TEPUNG KARAGINAN DARI RUMPUT LAUT (EUCHEUMA COTTONII) BERDASARKAN PERBEDAAN METODE PENGENDAPAN},
 volume = {15},
 year = {2008}
}
";plain;"Prasetyowati Prasetyowati, A. CorrineJasmine, and Devy Agustiawan. PEMBUATAN TEPUNG KARAGINAN DARI RUMPUT LAUT (EUCHEUMA COTTONII) BERDASARKAN PERBEDAAN METODE PENGENDAPAN. 2008.
"
"@Inproceedings{Xu2020ElectrodepositionOF,
 author = {Yin Xu and Yunkai Sun and G. Zangari},
 pages = {1188-1188},
 title = {Electrodeposition of Fe-Group Mutual Alloys for Efficient Electrochemical Water Oxidation},
 year = {2020}
}
";plain;"Yin Xu, Yunkai Sun, and G. Zangari. Electrodeposition of Fe-Group Mutual Alloys for Efficient Electrochemical Water Oxidation. 2020.
"
"@Article{Singh2020EstimationOS,
 author = {Abhilasha Singh and K. Gaurav and G. Meena and Shashi Kumar},
 booktitle = {Remote Sensing},
 journal = {Remote. Sens.},
 pages = {2266},
 title = {Estimation of Soil Moisture Applying Modified Dubois Model to Sentinel-1; A Regional Study from Central India},
 volume = {12},
 year = {2020}
}
";plain;"Abhilasha Singh, K. Gaurav, G. Meena, and Shashi Kumar. Estimation of soil moisture applying modified dubois model to sentinel-1; a regional study from central india. Remote. Sens., 12:2266, 2020.
"
"@Article{Jin2010NumericalAO,
 author = {Q. Jin and X. Ni},
 journal = {International Journal of Nonlinear Sciences and Numerical Simulation},
 pages = {201 - 206},
 title = {Numerical Analysis on Dynamic Response of Ship Models Subjected to Underwater Explosion},
 volume = {11},
 year = {2010}
}
";plain;"Q. Jin and X. Ni. Numerical analysis on dynamic response of ship models subjected to underwater explosion. International Journal of Nonlinear Sciences and Numerical Simulation, 11:201 - 206, 2010.
"
"@Article{Lebourg2014CellfreeCE,
 author = {M. Lebourg and S. Martínez-Díaz and N. Garcia-Giralt and R. Torres-Claramunt and J. G. Ribelles and G. Vilà-Canet and J. Monllau},
 booktitle = {Journal of Biomaterials Applications},
 journal = {Journal of Biomaterials Applications},
 pages = {1304 - 1315},
 title = {Cell-free cartilage engineering approach using hyaluronic acid–polycaprolactone scaffolds: A study in vivo},
 volume = {28},
 year = {2014}
}
";plain;"M. Lebourg, S. Martínez-Díaz, N. Garcia-Giralt, R. Torres-Claramunt, J. G. Ribelles, G. Vilà-Canet, and J. Monllau. Cell-free cartilage engineering approach using hyaluronic acid–polycaprolactone scaffolds: a study in vivo. Journal of Biomaterials Applications, 28:1304 - 1315, 2014.
"
"@Article{Hamed2023ARO,
 author = {Ali Mahmoud Hamed and Tengku Nordayana Akma Tuan Kamaruddin and Nabilah Ramli and Mohd Firdaus Abdul Wahab},
 journal = {IOP Conference Series: Earth and Environmental Science},
 title = {A review on blue and green hydrogen production process and their life cycle assessments},
 volume = {1281},
 year = {2023}
}
";plain;"Ali Mahmoud Hamed, Tengku Nordayana Akma Tuan Kamaruddin, Nabilah Ramli, and Mohd Firdaus Abdul Wahab. A review on blue and green hydrogen production process and their life cycle assessments. IOP Conference Series: Earth and Environmental Science, 2023.
"
"@Article{Roth2009PropertyAA,
 author = {D. Roth},
 journal = {Development and Change},
 pages = {195-217},
 title = {Property and Authority in a Migrant Society: Balinese Irrigators in Sulawesi, Indonesia},
 volume = {40},
 year = {2009}
}
";plain;"D. Roth. Property and authority in a migrant society: balinese irrigators in sulawesi, indonesia. Development and Change, 40:195-217, 2009.
"
"@Article{Vouros2016EXPERIMENTALSO,
 author = {A. Vouros and A. Vouros and T. Panidis},
 journal = {Thermal Science},
 pages = {473-482},
 title = {EXPERIMENTAL STUDY OF A WATER-MIST JET ISSUING NORMAL TO A HEATED FLAT PLATE},
 volume = {20},
 year = {2016}
}
";plain;"A. Vouros, A. Vouros, and T. Panidis. Experimental study of a water-mist jet issuing normal to a heated flat plate. Thermal Science, 20:473-482, 2016.
"
